attribute,group,run_id,records,observed_adverse_rate,predicted_adverse_rate,recall_tpr,false_positive_rate,specificity,precision,f1,brier,mean_calibrated_probability
age_group,50+,R3_F2,579,0.2659758203799655,0.28324697754749567,0.564935064935065,0.1811764705882353,0.8188235294117647,0.5304878048780488,0.5471698113207548,0.15366875111443412,0.25908339998373664
age_group,<30,R3_F3,1939,0.22485817431665808,0.20474471376998452,0.5045871559633027,0.11776447105788423,0.8822355289421158,0.5541561712846348,0.5282112845138056,0.138697251055895,0.22331739209578425
age_group,30-39,R3_F3,2243,0.20329915292019615,0.18056174765938476,0.506578947368421,0.09736989367655288,0.9026301063234471,0.5703703703703704,0.5365853658536585,0.12573117590051958,0.2067334137987034
age_group,40-49,R3_F3,1298,0.23728813559322035,0.21879815100154082,0.5681818181818182,0.1101010101010101,0.8898989898989899,0.6161971830985915,0.5912162162162162,0.13264439818715074,0.23632349130456023
age_group,50+,R3_F3,519,0.23892100192678228,0.2543352601156069,0.5645161290322581,0.1569620253164557,0.8430379746835444,0.5303030303030303,0.5468750000000001,0.1387939502176239,0.2517499202010073
age_group,<30,R3_F4,1888,0.21822033898305085,0.22139830508474576,0.5509708737864077,0.1294037940379404,0.8705962059620597,0.5430622009569378,0.5469879518072289,0.13125227155852337,0.23450656114608948
age_group,30-39,R3_F4,2242,0.21141837644959857,0.18376449598572703,0.4873417721518987,0.10237556561085973,0.8976244343891403,0.5606796116504854,0.5214446952595936,0.13004846019903324,0.2064722926949805
age_group,40-49,R3_F4,1323,0.23582766439909297,0.19501133786848074,0.5,0.10089020771513353,0.8991097922848664,0.6046511627906976,0.5473684210526316,0.14166414282377454,0.21860883148203936
age_group,50+,R3_F4,547,0.26691042047531993,0.26508226691042047,0.6027397260273972,0.14214463840399003,0.85785536159601,0.6068965517241379,0.6048109965635738,0.15129601275053126,0.26249600301348003
age_group,<30,R3_F5,1874,0.22678762006403416,0.211846318036286,0.5270588235294118,0.11939268461007592,0.8806073153899241,0.5642317380352645,0.5450121654501217,0.13740395181844567,0.23269214139609254
age_group,30-39,R3_F5,2250,0.20444444444444446,0.17733333333333334,0.5021739130434782,0.09385474860335195,0.906145251396648,0.5789473684210527,0.5378346915017463,0.1267071220494648,0.20481441254101757
age_group,40-49,R3_F5,1327,0.2290881688018086,0.19291635267520724,0.47368421052631576,0.10948191593352884,0.8905180840664711,0.5625,0.5142857142857142,0.14281259614287015,0.22987323349285183
age_group,50+,R3_F5,549,0.22950819672131148,0.21493624772313297,0.5714285714285714,0.10874704491725769,0.8912529550827423,0.6101694915254238,0.5901639344262296,0.1320028054138718,0.24240270638884662
age_group,<30,R4_F1,1955,0.22966751918158568,0.19539641943734015,0.5077951002227171,0.10225763612217796,0.897742363877822,0.5968586387434555,0.5487364620938627,0.13588391525087581,0.22388513460909346
age_group,30-39,R4_F1,2186,0.2040256175663312,0.16010978956999086,0.4663677130044843,0.08160919540229886,0.9183908045977012,0.5942857142857143,0.5226130653266331,0.12510054977243068,0.20059966798057216
age_group,40-49,R4_F1,1336,0.23053892215568864,0.2028443113772455,0.5487012987012987,0.09922178988326848,0.9007782101167315,0.6236162361623616,0.5837651122625216,0.13475915168850483,0.23175904715982765
age_group,50+,R4_F1,521,0.2476007677543186,0.22456813819577734,0.5348837209302325,0.12244897959183673,0.8775510204081632,0.5897435897435898,0.5609756097560975,0.1453052893748882,0.24714081522978862
age_group,<30,R4_F2,1930,0.23626943005181347,0.21347150259067357,0.5328947368421053,0.11465400271370421,0.8853459972862958,0.5898058252427184,0.5599078341013826,0.13989504419480206,0.2311158487190682
age_group,30-39,R4_F2,2235,0.19328859060402684,0.16778523489932887,0.47453703703703703,0.09428729894620078,0.9057127010537992,0.5466666666666666,0.5080545229244114,0.12562092799101765,0.20021363745016357
age_group,40-49,R4_F2,1292,0.21439628482972137,0.206656346749226,0.555956678700361,0.11133004926108374,0.8886699507389163,0.5767790262172284,0.5661764705882353,0.12521754574949184,0.22506875771360688
age_group,50+,R4_F2,545,0.24587155963302754,0.25871559633027524,0.6119402985074627,0.1435523114355231,0.8564476885644768,0.5815602836879432,0.5963636363636363,0.1360328916326228,0.25588572396903636
age_group,<30,R4_F3,1880,0.2393617021276596,0.22659574468085106,0.5622222222222222,0.12097902097902098,0.879020979020979,0.5938967136150235,0.5776255707762556,0.13950999460358354,0.2275703704700592
age_group,30-39,R4_F3,2324,0.20740103270223753,0.1751290877796902,0.47717842323651455,0.09609120521172639,0.9039087947882736,0.5651105651105651,0.5174353205849269,0.13094349389208226,0.1998575494451913
age_group,40-49,R4_F3,1265,0.22371541501976286,0.20395256916996046,0.4840989399293286,0.12321792260692464,0.8767820773930753,0.5310077519379846,0.5064695009242145,0.14145966765674212,0.22624539539880892
age_group,50+,R4_F3,531,0.263653483992467,0.24105461393596986,0.5214285714285715,0.14066496163682865,0.8593350383631714,0.5703125,0.5447761194029851,0.14762099286364144,0.24974329165260034
age_group,<30,R4_F4,1906,0.22088142707240294,0.20776495278069254,0.5106888361045131,0.12188552188552189,0.8781144781144781,0.5429292929292929,0.5263157894736842,0.13752264841814954,0.22804875603913569
age_group,30-39,R4_F4,2241,0.1990182954038376,0.17090584560464078,0.4663677130044843,0.09749303621169916,0.9025069637883009,0.5430809399477807,0.5018094089264175,0.1266197266869099,0.206075252691699
age_group,40-49,R4_F4,1282,0.22776911076443057,0.187207488299532,0.4931506849315068,0.09696969696969697,0.9030303030303031,0.6,0.5413533834586466,0.13655575582732735,0.2212335537017871
age_group,50+,R4_F4,566,0.2773851590106007,0.26325088339222613,0.5477707006369427,0.15403422982885084,0.8459657701711492,0.5771812080536913,0.5620915032679737,0.1677498068384003,0.2637401163473559
age_group,<30,R4_F5,1947,0.2162300975860298,0.22701592193117617,0.5700712589073634,0.13237221494102228,0.8676277850589778,0.5429864253393665,0.5561993047508691,0.13083879715341842,0.23864739852246794
age_group,30-39,R4_F5,2252,0.20870337477797513,0.19849023090586146,0.5106382978723404,0.11616161616161616,0.8838383838383839,0.5369127516778524,0.5234460196292257,0.13177952333849235,0.21453700493985808
